[2024-05-23 01:11:26,377: INFO: main: hello i m here]
[2024-05-30 03:03:09,482: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-30 03:03:09,488: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-30 03:27:36,471: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-30 03:27:36,472: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-30 19:50:04,959: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-30 19:50:04,969: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-30 19:52:35,289: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-30 19:54:32,546: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-30 19:54:32,549: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-30 19:54:32,551: INFO: common: created directory at: artifacts]
[2024-05-30 19:54:32,552: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-30 19:54:32,553: INFO: 3510079767: Downloading data from https://drive.google.com/file/d/1mT_GFRCVDKeSwjcfRy3kK0J20YkMNzYc/view?usp=sharing into file artifacts/data_ingestion/kidney tumordatas.zip]
[2024-05-30 19:57:22,125: INFO: 3510079767: Downloaded data from https://drive.google.com/file/d/1mT_GFRCVDKeSwjcfRy3kK0J20YkMNzYc/view?usp=sharing into file artifacts/data_ingestion/kidney tumordatas.zip]
[2024-05-30 21:35:36,965: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-30 21:35:36,998: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-30 21:35:36,998: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-30 21:35:36,998: INFO: common: created directory at: artifacts]
[2024-05-30 21:35:37,040: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-30 21:35:37,040: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1mT_GFRCVDKeSwjcfRy3kK0J20YkMNzYc/view?usp=sharing into file artifacts/data_ingestion/kidney tumordatas.zip]
[2024-05-30 21:42:33,607: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1mT_GFRCVDKeSwjcfRy3kK0J20YkMNzYc/view?usp=sharing into file artifacts/data_ingestion/kidney tumordatas.zip]
[2024-05-30 21:43:15,068: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-06-01 22:58:16,298: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-06-01 22:58:16,310: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-01 22:58:16,328: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 22:58:16,330: INFO: common: created directory at: artifacts]
[2024-06-01 22:58:16,331: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 22:58:16,333: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1mT_GFRCVDKeSwjcfRy3kK0J20YkMNzYc/view?usp=sharing into file artifacts/data_ingestion/kidney tumordatas.zip]
[2024-06-01 23:04:04,129: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1mT_GFRCVDKeSwjcfRy3kK0J20YkMNzYc/view?usp=sharing into file artifacts/data_ingestion/kidney tumordatas.zip]
[2024-06-01 23:04:28,289: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
